Spot	GeneSymbolHGNC	sixHours	twelveHours	twentyFourHours
A_23_P100001	FAM174B	-3.052851919201486	-1.4981895707942003	-10.65342340030377
A_23_P100011	0	9.935886931808101	-1.252366891772536	-1.6875394722027806
A_23_P100022	SV2B	-7.975949355824557	-6.710294751672472	-15.011793060795991
A_23_P100056	RBPMS2	1.98983492883753	0.19931568569324185	0.016609640474437855
A_23_P100074	AVEN	-1.3154835255753954	2.2356576078591948	6.630568477395175
A_23_P100092	0	4.4248082223899665	5.4479620756152745	5.717038251301151
A_23_P100103	0	0.37205594662738495	5.381523513717527	4.6407335485576455
A_23_P100111	0	1.1095239836923791	-2.0097664974068543	1.0829485589332801
A_23_P100127	KNL1	-5.155632403265186	-2.0861708435892634	0.09965784284662087
A_23_P100133	0	3.2687772453691646	-1.3354150941447198	-0.13952097998526922
A_23_P100141	0	-2.458226790216648	-1.3586685908089313	-4.494568712382601
A_23_P100156	0	-2.029698065976178	-0.40527522757625817	0.514898854707541
A_23_P100177	0	-0.4517822209046812	-0.5447962075615274	0.7009268280212336
A_23_P100189	PRM1	0.9799687879917718	-1.9599375759835438	-2.989735285398626
A_23_P100196	USP10	-0.926817938473574	1.9532937197937688	2.2788426730927305
A_23_P100203	HSBP1	-3.973026001485285	-4.604192339513884	-2.59442584210703
A_23_P100220	ESRP2	3.5644288458141395	-1.5812377731663845	-3.1591536182378817
A_23_P100240	CDH16	-0.27904195997053843	0.19931568569324185	0.2690761756858763
A_23_P10025	NELL2	1.2789423165316336	-2.1094243402534745	-4.859980802820211
A_23_P100263	0	-0.5481181356564151	-0.6378101942183733	-5.3250507361044415
A_23_P100278	0	-0.6045909132695	0.6610636908825851	1.5247649955532996
A_23_P100292	ZNF598	-0.7507557494445437	-0.8736670889553764	0.10962362713128268
A_23_P100315	DECR2	-3.0229545663475	-2.2423014640489694	-1.2025379703492254
A_23_P100326	NPRL3	-1.0862704870281674	-1.0397634936997444	-1.8170946679033875
A_23_P100341	0	3.757100675317606	0.9035644418093627	-4.590904627134334
