Spot	GeneSymbolHGNC	sixHours	twelveHours	twentyFourHours
A_23_P100001	FAM174B	-5.3250507361044415	-11.570275554492683	-1.5380527079328485
A_23_P100011	0	-0.5946251289848378	-1.8868551578960218	-0.07640434618240978
A_23_P100022	SV2B	-5.766867172724461	-0.4418164366200192	-0.4318506523353574
A_23_P100056	RBPMS2	2.2655549607131826	-2.9332625077855408	-0.19267182950346715
A_23_P100074	AVEN	0.3388366656785111	1.5181211393635248	0.8138723832474035
A_23_P100092	0	4.228814464791612	0.4218848680506952	3.757100675317607
A_23_P100103	0	3.4415175063033074	0.8803109451451513	2.9465502201650904
A_23_P100111	0	1.823738524093162	0.7474338213496565	-0.2258911104523405
A_23_P100127	KNL1	-5.182207828024285	-1.5081553550788622	-2.873467802077568
A_23_P100133	0	0.5348304232768653	-0.348802449963173	-3.4747367872521813
A_23_P100141	0	-8.005846708678543	-7.148789260197604	-0.7474338213496562
A_23_P100156	0	-1.3055177412907333	0.7075706842110081	0.823838167532066
A_23_P100177	0	0.07640434618240925	1.2291133951083242	4.175663615273415
A_23_P100189	PRM1	3.7836761000767054	2.152609405487011	-2.890077442552005
A_23_P100196	USP10	1.75065610600564	3.4913464277266177	-2.986413357303739
A_23_P100203	HSBP1	-4.135800478134766	-1.7639438183851892	-4.703850182360505
A_23_P100220	ESRP2	-0.08637013046707116	-1.8934990140857964	1.059695062269069
A_23_P100240	CDH16	-0.4517822209046814	-1.3752782312833682	2.0429857783557277
A_23_P10025	NELL2	-3.624223551522113	-5.823339950337546	1.7905192431442887
A_23_P100263	0	-5.3383384484839915	-9.832907160866593	0.9866126441815467
A_23_P100278	0	4.740391391404266	-1.5712719888817224	3.1591536182378817
A_23_P100292	ZNF598	-0.651097906597923	0.734146108970107	-1.1394213365463652
A_23_P100315	DECR2	-0.9965784284662088	-0.7474338213496565	-2.873467802077568
A_23_P100326	NPRL3	0.3222270252040741	-1.1194897679770408	-5.374879657527753
A_23_P100341	0	-0.9401056508531233	-5.584161127505657	2.0197322816915166
A_23_P100344	ORC6	3.607613911047676	3.2123044677560797	-0.1063016990363959
A_23_P100355	PPP4C	-1.2224695389185496	1.3586685908089313	0.5514400637513022
A_23_P100386	IL34	1.6842175441078926	-1.1527090489259146	3.3485035196464614
A_23_P100392	ELOB	-1.6709298317283436	-0.9567152913275602	-3.3983324410697717
A_23_P100408	0	0.7308241808752198	2.0496296345455023	1.6642859755385686
A_23_P100413	0	-4.182307471463189	-1.5546623484072857	1.2756203884367472
A_23_P100420	ZCCHC14	-11.958941141594504	-1.2590107479623103	-7.6636881149051455
A_23_P100441	FAM192A	-0.8537355203860522	-0.5946251289848378	-0.6079128413643874
A_23_P100455	MTHFSD	-0.7009268280212335	0.14948676426993124	1.5745939169766099
A_23_P100469	0	7.441118932547691	3.9198751519670876	0.3654120904376097
A_23_P100478	0	0.408597155671146	1.102880127502604	-2.11606819644325
A_23_P100486	VKORC1	-0.7208583965905575	2.172540974056335	1.4018536560424673
A_23_P100499	ROGDI	6.9129323654606	6.138923119351846	1.172640617495239
A_23_P100501	HMOX2	0.47503571756889257	1.0297977094150819	-2.3917882283189007
A_23_P100517	TMEM170A	3.192372899186755	3.282064957748714	3.717237538178958
A_23_P100522	0	-2.534631136399058	-4.514500280951926	1.146065192736141
A_23_P100539	ABCC6	-0.5547619918461895	-2.8668239458877927	-0.5614058480359642
A_23_P100556	0	0.8271600956269534	0.26243231949610163	3.401654369164659
A_23_P100576	0	2.1924725426256595	1.5147992112686375	-4.806829953302014
A_23_P100583	LPO	3.5444972772448162	-2.6475766916252277	0.44846029280979394
A_23_P100595	0	-10.776334739814605	-5.132378906600975	1.2922300289111845
A_23_P10060	0	1.4417167931811157	4.969604429951494	-1.8137727398085
A_23_P100602	TBCD	-0.7640434618240937	-0.4384945085251318	-1.3819220874731426
A_23_P10062	0	2.84689237731847	-0.9401056508531236	1.1493871208310273
A_23_P100632	JPT1	-1.5513404203123986	0.9533933632326731	3.6507989762812114
A_23_P100642	PNMT	7.982593212014331	0.8105504551525156	-1.657642119348794
A_23_P100654	ZBTB4	-8.643656902896916	-1.9267182950346704	-2.0861708435892634
A_23_P100660	SERPINF1	1.7606218902903021	1.0563731341741813	3.8600804462591154
A_23_P100676	SMG6	-1.843670092662486	-3.7571006753176066	3.454805218682857
A_23_P100693	0	-5.4313524351408375	-1.8270604521880494	0.8637013046707143
A_23_P100704	MAPK7	-0.182706045218805	-1.255688819867423	4.135800478134766
A_23_P100711	PMP22	-2.770488031136062	-2.986413357303739	1.3719563031884814
A_23_P100730	SKAP1	-1.146065192736142	-1.415141368422017	3.7571006753176075
A_23_P100754	0	-4.185629399558077	-2.936584435880428	-1.3088396693856204
A_23_P100764	SLC25A39	-1.2025379703492254	-0.448460292809794	1.0231538532253077
A_23_P10077	PNPLA2	-2.215726039289871	-1.9400060074142191	2.704049469238313
A_23_P100779	0	-1.9765472164579805	-1.548018492217511	1.0729827746486182
A_23_P100788	0	8.24834745960532	5.7735110289142355	1.1261336241668156
