EnsemblID,Set,scoreMethod,Score,MHC1OR2,Process_classification,Gene_name_kegg,Ensembl_name,KO_definition/Ensembl_definition,Link,Neefjes_accession,Subdivision types,Location of action,outlierDivided
ENSG00000090339,NS,totalScore_Union_Fit_HighConf,-0.8199570729641508,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000091527,NS,totalScore_Union_Fit_HighConf,-0.8457734630759886,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000176390,NS,totalScore_Union_Fit_HighConf,-0.8708403816177945,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000156587,NS,totalScore_Union_Fit_HighConf,-0.9418820949661022,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000113384,NS,totalScore_Union_Fit_HighConf,-0.96093842842577,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000085491,NS,totalScore_Union_Fit_HighConf,-0.9945384642443411,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000102900,NS,totalScore_Union_Fit_HighConf,-0.9954149187251824,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000119655,NS,totalScore_Union_Fit_HighConf,-1.0092671235450021,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000123146,NS,totalScore_Union_Fit_HighConf,-1.0156933372356898,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000198363,NS,totalScore_Union_Fit_HighConf,-1.067967598947524,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000130303,NS,totalScore_Union_Fit_HighConf,-1.0818899793623178,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000067221,NS,totalScore_Union_Fit_HighConf,-1.1053060697426274,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000116584,NS,totalScore_Union_Fit_HighConf,-1.1196695851923328,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000100100,NS,totalScore_Union_Fit_HighConf,-1.122079076336699,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000165684,NS,totalScore_Union_Fit_HighConf,-1.1372574285049222,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000160803,NS,totalScore_Union_Fit_HighConf,-1.1407087146320753,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
