plate,position,well,Z-score R1: normalized_r1_ch1,Z-score R2: normalized_r2_ch1,Z-score R3: normalized_r3_ch1,GeneID,GeneSymbol,Median,Significance,Antibody
3,77,G05,-0.435,0.493,-0.37,XM_032945,C21ORF25,-0.37,0,L243
9,73,G01,-1.002,0.488,-0.365,siDM,siDM,-0.365,0,L243
9,68,F08,0.173,-0.623,-0.355,siControl,siControl,-0.355,0,L243
5,7,A07,-1,-0.194,-0.355,NM_003784,SERPINB7,-0.355,0,L243
4,73,G01,-0.685,-0.328,-0.351,siDM,siDM,-0.351,0,L243
4,16,B04,0.083,-0.096,-0.351,siControl,siControl,-0.096,0,L243
10,20,B08,-0.329,-0.456,-0.348,XM_372092,LOC389727,-0.348,0,L243
10,14,B02,-0.609,-0.04,-0.348,wt,wt,-0.348,0,L243
3,17,B05,-0.545,NA,-0.344,NM_004587,RRBP1,-0.4445,0,L243
12,73,G01,-0.695,-1.184,-0.339,siDM,siDM,-0.695,0,L243
11,49,E01,-1.12,-1.042,-0.327,siDM,siDM,-1.042,0,L243
12,42,D06,0.025,-0.13,-0.327,siControl,siControl,-0.13,0,L243
10,3,A03,0.229,0.07,-0.327,siControl,siControl,0.07,0,L243
5,81,G09,0.015,0.074,-0.324,siControl,siControl,0.015,0,L243
1,26,C02,-0.517,-0.106,-0.318,wt,wt,-0.318,0,L243
5,61,F01,-1.186,-0.441,-0.314,siDM,siDM,-0.441,0,L243
7,86,H02,-0.777,-0.811,-0.305,wt,wt,-0.777,0,L243
1,78,G06,-0.118,0.355,-0.301,NM_181605,KRTAP6-3,-0.118,0,L243
3,48,D12,0.705,0.086,-0.293,NM_014347,ZNF324,0.086,0,L243
2,75,G03,0.178,0.453,-0.291,NM_020536,CSRP2BP,0.178,0,L243
5,43,D07,0.21,0.352,-0.272,NM_000683,ADRA2C,0.21,0,L243
8,68,F08,-0.073,0.829,-0.268,siControl,siControl,-0.073,0,L243
6,14,B02,-0.715,-0.478,-0.257,wt,wt,-0.478,0,L243
8,61,F01,-0.615,-0.343,-0.247,siDM,siDM,-0.343,0,L243
12,93,H09,0.328,-0.077,-0.243,wt,wt,-0.077,0,L243
12,81,G09,0.081,0.212,-0.243,siControl,siControl,0.081,0,L243
5,62,F02,-0.991,-0.407,-0.241,wt,wt,-0.407,0,L243
8,81,G09,0.237,0.193,-0.237,siControl,siControl,0.193,0,L243
7,11,A11,-0.811,-0.832,-0.233,siControl,siControl,-0.811,0,L243
11,93,H09,-0.371,-0.435,-0.233,NM_205767,QIL1,-0.371,0,L243
7,68,F08,0.367,-0.018,-0.233,siControl,siControl,-0.018,0,L243
7,54,E06,-0.478,0.172,-0.233,XM_371418,LOC388830,-0.233,0,L243
4,81,G09,0.381,0.074,-0.227,siControl,siControl,0.074,0,L243
10,74,G02,-0.307,-0.193,-0.226,wt,wt,-0.226,0,L243
10,55,E07,-0.336,0.11,-0.226,siControl,siControl,-0.226,0,L243
10,50,E02,-1.186,0.265,-0.226,wt,wt,-0.226,0,L243
7,74,G02,-0.665,-0.832,-0.223,wt,wt,-0.665,0,L243
7,73,G01,-1.05,-0.739,-0.223,siDM,siDM,-0.739,0,L243
2,82,G10,-0.499,0.445,-0.222,NM_020204,LHX9,-0.222,0,L243
9,74,G02,-0.684,-0.099,-0.221,wt,wt,-0.221,0,L243
10,31,C07,-0.679,-0.382,-0.216,XM_372310,LOC389953,-0.382,0,L243
5,49,E01,-1.018,-0.464,-0.211,siDM,siDM,-0.464,0,L243
1,39,D03,-0.301,0.55,-0.208,XM_167044,SLC35F1,-0.208,0,L243
10,11,A11,-0.204,0.303,-0.206,siControl,siControl,-0.204,0,L243
9,59,E11,-0.698,-0.397,-0.2,NM_014705,DOCK4,-0.397,0,L243
5,26,C02,-0.948,-0.216,-0.2,wt,wt,-0.216,0,L243
3,11,A11,-0.959,0.068,-0.199,siControl,siControl,-0.199,0,L243
12,74,G02,-0.808,-1.146,-0.196,wt,wt,-0.808,0,L243
12,91,H07,-1.049,-0.734,-0.196,NM_030939,C6ORF62,-0.734,0,L243
6,37,D01,-0.798,-0.297,-0.195,DO,DO,-0.297,0,L243
11,62,F02,-0.62,0.368,-0.192,wt,wt,-0.192,0,L243
7,81,G09,0.295,0.19,-0.183,siControl,siControl,0.19,0,L243
4,86,H02,-0.092,NA,-0.18,wt,wt,-0.136,0,L243
10,62,F02,-1.144,0.379,-0.166,wt,wt,-0.166,0,L243
6,68,F08,-0.216,-0.07,-0.157,siControl,siControl,-0.157,0,L243
11,26,C02,-0.946,-0.559,-0.151,wt,wt,-0.559,0,L243
