plate,position,well,Z-score R1: normalized_r1_ch1,Z-score R2: normalized_r2_ch1,Z-score R3: normalized_r3_ch1,GeneID,GeneSymbol,Median,Significance,Antibody
4,5,A05,0.438,-0.404,0.24,NM_173822,MGC39518,0.24,0,CLIP
5,16,B04,0.904,0,0.24,siControl,siControl,0.24,0,CLIP
5,4,A04,0.959,0.756,0.24,NM_015024,XPO7,0.756,0,CLIP
2,28,C04,-0.413,0.773,0.241,NM_024762,ZNF552,0.241,0,CLIP
1,26,C02,-0.114,-2.327,0.243,wt,wt,-0.114,0,CLIP
1,92,H08,-0.925,-0.845,0.243,NM_173820,FLJ35487,-0.845,0,CLIP
1,81,G09,-1.116,0.632,0.243,siControl,siControl,0.243,0,CLIP
6,66,F06,0.205,0.403,0.245,NM_032175,FLJ12787,0.245,0,CLIP
3,46,D10,0.315,0.995,0.25,NM_014333,IGSF4,0.315,0,CLIP
3,75,G03,-0.046,1.023,0.25,NM_004386,CSPG3,0.25,0,CLIP
11,16,B04,0.439,-0.731,0.251,siControl,siControl,0.251,0,CLIP
7,93,H09,0.503,0.272,0.253,XM_371923,LOC389523,0.272,0,CLIP
9,2,A02,-0.017,-0.491,0.263,wt,wt,-0.017,0,CLIP
5,39,D03,0.42,0.323,0.269,XM_376365,LOC116349,0.323,0,CLIP
6,42,D06,-0.275,-0.556,0.277,siControl,siControl,-0.275,0,CLIP
6,64,F04,0.174,0.905,0.277,NM_032153,ZIC4,0.277,0,CLIP
3,69,F09,0.403,-0.608,0.28,NM_000951,PRRG2,0.28,0,CLIP
8,93,H09,0.669,-0.168,0.3,NM_144641,FLJ32332,0.3,0,CLIP
12,39,D03,-0.642,-0.416,0.318,NM_020200,PRTFDC1,-0.416,0,CLIP
11,29,C05,-0.21,-0.612,0.326,siControl,siControl,-0.21,0,CLIP
5,94,H10,-0.345,0.098,0.328,siControl,siControl,0.098,0,CLIP
8,43,D07,0.138,0.976,0.331,NM_207390,FLJ45910,0.331,0,CLIP
3,63,F03,-0.015,-0.125,0.342,NM_002277,KRTHA1,-0.015,0,CLIP
3,54,E06,0.106,0.482,0.342,NM_152291,MUC7,0.342,0,CLIP
7,91,H07,0.603,0.306,0.346,XM_379534,LOC401437,0.346,0,CLIP
7,44,D08,0.401,0.601,0.346,XM_374414,LOC392647,0.401,0,CLIP
12,90,H06,-0.68,0,0.354,NM_006952,UPK1B,0,0,CLIP
9,29,C05,-0.552,-0.124,0.36,siControl,siControl,-0.124,0,CLIP
9,67,F07,0.322,0.297,0.36,NM_014656,KIAA0040,0.322,0,CLIP
6,46,D10,0.979,0.219,0.373,XM_379133,LOC151121,0.373,0,CLIP
6,47,D11,-0.016,0.373,0.373,NM_173513,MGC43122,0.373,0,CLIP
7,16,B04,-0.571,0.504,0.377,siControl,siControl,0.377,0,CLIP
10,19,B07,-0.743,0.673,0.377,XM_372160,LOC389814,0.377,0,CLIP
9,93,H09,-0.157,0.228,0.392,NM_015692,CPAMD8,0.228,0,CLIP
8,3,A03,0.86,0.198,0.393,siControl,siControl,0.393,0,CLIP
11,41,D05,-0.175,0.074,0.4,XM_376578,PHF14,0.074,0,CLIP
6,65,F05,-0.819,-0.356,0.405,XM_095991,C9ORF81,-0.356,0,CLIP
6,31,C07,0.571,0.643,0.405,NM_024889,C10ORF81,0.571,0,CLIP
2,52,E04,0.732,-0.323,0.407,NM_022127,SLC28A3,0.407,0,CLIP
7,80,G08,0.503,0.205,0.407,NM_203453,LOC403313,0.407,0,CLIP
2,21,B09,-0.668,0.939,0.407,NM_024705,FLJ13639,0.407,0,CLIP
2,8,A08,NA,1.101,0.407,NM_024573,C6ORF211,0.754,0,CLIP
9,41,D05,0.188,0.797,0.424,NM_152908,FLJ31196,0.424,0,CLIP
1,8,A08,-0.143,-0.542,0.433,NM_018641,CHST12,-0.143,0,CLIP
3,79,G07,0.633,0.912,0.433,NM_015558,SS18L1,0.633,0,CLIP
6,34,C10,0.174,0.464,0.436,XM_379196,LOC151877,0.436,0,CLIP
11,39,D03,0.794,0.88,0.437,NM_025145,C10ORF79,0.794,0,CLIP
5,72,F12,0.361,0.449,0.445,NM_004154,P2RY6,0.445,0,CLIP
8,64,F04,0.474,1.065,0.454,NM_001005217,FRG2,0.474,0,CLIP
9,20,B08,-0.052,0.399,0.456,NM_178465,TSPYL3,0.399,0,CLIP
9,89,H05,-0.334,0.567,0.456,NM_006351,TIMM44,0.456,0,CLIP
2,16,B04,-0.476,0.374,0.462,siControl,siControl,0.374,0,CLIP
2,4,A04,0.786,0.633,0.462,NM_030763,NSBP1,0.633,0,CLIP
2,45,D09,-1.133,0.108,0.489,NM_022573,TSPY2,0.108,0,CLIP
2,24,B12,0.48,0.461,0.489,siControl,siControl,0.48,0,CLIP
2,54,E06,0.841,0.689,0.489,NM_022156,PP3111,0.689,0,CLIP
3,59,E11,0.315,0.031,0.493,NM_012314,KIR2DS4,0.315,0,CLIP
1,9,A09,0.989,-0.06,0.496,NM_018178,GPP34R,0.496,0,CLIP
7,79,G07,0.089,0.633,0.499,XM_377830,DUB1A,0.499,0,CLIP
7,24,B12,0.801,0.887,0.499,siControl,siControl,0.801,0,CLIP
11,2,A02,-2.463,-0.455,0.51,wt,wt,-0.455,0,CLIP
11,19,B07,0.406,0.573,0.51,NM_138568,XTP7,0.51,0,CLIP
2,23,B11,0.075,0.939,0.516,NM_024709,FLJ14146,0.516,0,CLIP
9,87,H03,-0.852,0.263,0.519,NM_016305,SS18L2,0.263,0,CLIP
1,24,B12,0.415,-0.444,0.527,siControl,siControl,0.415,0,CLIP
6,94,H10,-0.509,-0.356,0.531,siControl,siControl,-0.356,0,CLIP
6,9,A09,-0.577,0.312,0.531,NM_030930,UNC93B1,0.312,0,CLIP
5,24,B12,0,0.355,0.531,siControl,siControl,0.355,0,CLIP
4,72,F12,0.495,0.449,0.531,NM_198552,MGC15887,0.495,0,CLIP
5,71,F11,0.182,0.877,0.531,NM_001337,CX3CR1,0.531,0,CLIP
4,32,C08,0.523,NA,0.531,NM_182904,P4HA3,0.527,0,CLIP
10,11,A11,0.199,0.64,0.536,siControl,siControl,0.536,0,CLIP
8,58,E10,0.765,0.548,0.545,NM_001004326,FLJ16331,0.548,0,CLIP
9,72,F12,0.188,-0.269,0.551,NM_016584,IL23A,0.188,0,CLIP
1,90,H06,-0.2,0.064,0.558,NM_182594,ZNF454,0.064,0,CLIP
5,15,B03,0.651,0.511,0.56,NM_003513,HIST1H2AB,0.56,0,CLIP
4,17,B05,0.381,0.906,0.56,XM_208731,C14ORF68,0.56,0,CLIP
6,60,E12,-0.611,-0.489,0.562,NM_032138,KBTBD7,-0.489,0,CLIP
6,59,E11,-0.21,-0.128,0.562,NM_032137,DKFZP434N1817,-0.128,0,CLIP
10,91,H07,0.618,-0.236,0.568,NM_025138,C13ORF23,0.568,0,CLIP
12,31,C07,0.364,0.291,0.571,NM_005115,MVP,0.364,0,CLIP
8,78,G06,-0.838,0.642,0.575,XM_373489,LOC387746,0.575,0,CLIP
8,45,D09,1.047,0.642,0.575,NM_207405,FLJ46481,0.642,0,CLIP
5,84,G12,NA,0.418,0.588,NM_138419,DUFD1,0.503,0,CLIP
10,57,E09,0.919,0.089,0.599,XM_047499,RNF187,0.599,0,CLIP
12,63,F03,-0.417,0.71,0.607,NM_024595,FLJ12666,0.607,0,CLIP
3,66,F06,0.802,-0.062,0.612,NM_032489,ACRBP,0.612,0,CLIP
9,75,G03,-0.589,0.124,0.614,NM_016202,ZNF580,0.124,0,CLIP
9,70,F10,0.585,0.765,0.614,NM_014669,NUP93,0.614,0,CLIP
4,4,A04,NA,0.756,0.617,NM_178530,FLJ38379,0.6865,0,CLIP
7,63,F03,0.67,0.272,0.619,NM_001001710,LOC401565,0.619,0,CLIP
7,83,G11,0.833,0.761,0.619,NM_003171,SUPV3L1,0.761,0,CLIP
11,89,H05,0.537,0.98,0.62,NM_203454,MGC26594,0.62,0,CLIP
2,44,D08,-1.27,-0.044,0.624,NM_022365,DNAJC1,-0.044,0,CLIP
6,93,H09,0.951,0.312,0.624,NM_016045,C20ORF45,0.624,0,CLIP
3,12,A12,0.913,0.967,0.642,NM_021920,SCT,0.913,0,CLIP
12,76,G04,-0.604,-1.484,0.643,NM_054021,GPR101,-0.604,0,CLIP
6,22,B10,-0.112,0.403,0.655,NM_014955,CGI-01,0.403,0,CLIP
6,15,B03,NA,0.76,0.655,NM_031216,SEC13L,0.7075,0,CLIP
10,89,H05,-0.508,-0.199,0.662,NM_198923,MRGPRD,-0.199,0,CLIP
10,24,B12,0.235,0.265,0.662,siControl,siControl,0.265,0,CLIP
9,64,F04,0.154,0.699,0.676,NM_004809,STOML1,0.676,0,CLIP
9,11,A11,0.052,0.894,0.676,siControl,siControl,0.676,0,CLIP
2,30,C06,-0.258,0.773,0.678,NM_022659,EBF2,0.678,0,CLIP
7,9,A09,-0.345,0.887,0.679,NM_198540,B3GALT7,0.679,0,CLIP
8,71,F11,0,0.033,0.695,XM_371663,LOC389147,0.033,0,CLIP
6,53,E05,0.748,0.933,0.717,NM_033111,LOC88523,0.748,0,CLIP
6,43,D07,0.807,1.103,0.717,NM_207327,LOC150383,0.807,0,CLIP
11,15,B03,0.406,-0.691,0.728,NM_201402,DUB3,0.406,0,CLIP
4,30,C06,0.991,-0.301,0.73,NM_173358,SSX7,0.73,0,CLIP
3,67,F07,0.746,0.57,0.73,NM_138289,ACTRT1,0.73,0,CLIP
4,91,H07,1.044,0.635,0.73,XM_294219,LOC346355,0.73,0,CLIP
4,59,E11,NA,0.726,0.73,XM_104657,LOC164714,0.728,0,CLIP
9,31,C07,0.188,0.958,0.738,NM_207313,LOC124842,0.738,0,CLIP
6,95,H11,0.748,0,0.747,NM_015912,LOC51059,0.747,0,CLIP
10,41,D05,-0.392,0.23,0.755,XM_379648,LOC401539,0.23,0,CLIP
10,66,F06,-0.166,0.539,0.755,NM_145345,SOC,0.539,0,CLIP
4,11,A11,0.58,0.726,0.758,siControl,siControl,0.726,0,CLIP
11,87,H03,-0.104,0.71,0.763,NM_015916,FAM26B,0.71,0,CLIP
6,90,H06,0.39,0.464,0.778,NM_001062,TCN1,0.464,0,CLIP
8,4,A04,0.374,-0.27,0.784,XM_372640,LOC390734,0.374,0,CLIP
5,3,A03,0.764,-0.033,0.786,siControl,siControl,0.764,0,CLIP
5,92,H08,-0.031,0.635,0.786,NM_032799,ZDHHC12,0.635,0,CLIP
10,83,G11,-0.091,NA,0.786,NM_032561,C22ORF23,0.3475,0,CLIP
3,58,E10,0.94,0.123,0.789,NM_005952,MT1X,0.789,0,CLIP
11,8,A08,-1.385,0.327,0.799,NM_005160,ADRBK2,0.327,0,CLIP
9,52,E04,-0.227,0.194,0.8,XM_045086,KIAA1764,0.194,0,CLIP
1,51,E03,1.065,-0.092,0.803,XM_095168,EZI,0.803,0,CLIP
1,23,B11,-0.317,0.486,0.803,NM_017827,SARS2,0.486,0,CLIP
6,30,C06,0.205,0.789,0.808,NM_024884,C14ORF160,0.789,0,CLIP
2,77,G05,0.841,0.576,0.811,NM_020657,ZNF304,0.811,0,CLIP
8,48,D12,0.308,0.946,0.813,XM_378743,LOC400647,0.813,0,CLIP
9,62,F02,-0.443,0.534,0.83,wt,wt,0.534,0,CLIP
1,7,A07,0.862,-0.642,0.833,NM_018383,WDR33,0.833,0,CLIP
1,91,H07,-0.114,-0.06,0.833,XM_379432,LOC285733,-0.06,0,CLIP
9,33,C09,0.52,1.084,0.861,NM_139162,SMCR7,0.861,0,CLIP
4,47,D11,NA,0.131,0.869,XM_370872,LOC388132,0.5,0,CLIP
5,91,H07,0.876,0.635,0.869,NM_032786,FLJ14451,0.869,0,CLIP
6,40,D04,0.481,0.905,0.869,NM_152506,C21ORF129,0.869,0,CLIP
11,95,H11,-0.353,0.219,0.87,XM_372866,LOC391248,0.219,0,CLIP
8,60,E12,0.507,0.327,0.872,NM_001004345,FLJ16124,0.507,0,CLIP
8,12,A12,0.069,0.359,0.872,NM_181807,DCDC1,0.359,0,CLIP
8,33,C09,0.765,0.642,0.872,XM_171855,LOC255275,0.765,0,CLIP
8,95,H11,0.733,0.795,0.872,NM_178434,LCE3C,0.795,0,CLIP
8,28,C04,0.86,1.006,0.872,XM_012219,LOC144483,0.872,0,CLIP
10,72,F12,0.886,0.74,0.877,XM_376830,KIAA0258,0.877,0,CLIP
9,47,D11,0.289,0.6,0.891,NM_032906,MGC14156,0.6,0,CLIP
6,52,E04,0.205,0.188,0.899,NM_033106,GALP,0.205,0,CLIP
6,33,C09,0.451,0.672,0.899,NM_138815,LOC151871,0.672,0,CLIP
7,52,E04,0.124,0.697,0.914,XM_380120,LOC402537,0.697,0,CLIP
9,46,D10,1.056,0.699,0.922,NM_032916,MGC16279,0.922,0,CLIP
12,40,D04,0.123,0.398,0.923,NM_002367,MAGEB4,0.398,0,CLIP
10,3,A03,0.584,0.968,0.938,siControl,siControl,0.938,0,CLIP
9,96,H12,-0.443,-0.566,0.952,NM_013271,PCSK1N,-0.443,0,CLIP
9,24,B12,0.12,0.124,0.952,siControl,siControl,0.124,0,CLIP
12,56,E08,-0.491,-1.142,0.957,wt,wt,-0.491,0,CLIP
2,48,D12,0.251,0.604,0.967,NM_022061,MRPL17,0.604,0,CLIP
10,71,F11,0.618,0.706,0.969,NM_032680,MGC4266,0.706,0,CLIP
9,95,H11,0.389,0.228,0.982,NM_014471,SPINK4,0.389,0,CLIP
1,12,A12,NA,0.337,0.983,NM_032379,SYTL2,0.66,0,CLIP
2,12,A12,0.565,0.717,0.993,NM_024600,FLJ20898,0.717,0,CLIP
2,11,A11,0.309,0.773,0.993,siControl,siControl,0.773,0,CLIP
1,28,C04,0.056,-1.228,1.042,NM_022050,SCAND2,0.056,0,CLIP
8,65,F05,0.604,0.856,1.045,NM_001005286,OR6F1,0.856,0,CLIP
6,24,B12,0.359,0.342,1.049,siControl,siControl,0.359,0,CLIP
7,59,E11,1.057,1.073,1.058,NM_001001524,TM6SF2,1.058,0,CLIP
1,3,A03,0.495,0.186,1.071,siControl,siControl,0.495,0,CLIP
9,43,D07,-0.263,0.399,1.072,NM_080652,MGC15397,0.399,0,CLIP
