Gene,Adult cDC2 ,Adult CD14 DC,Adult cDC1,Fetal cDC2,Fetal CD14 DC,Fetal cDC1
LOC391656,10.0894366436,9.7886164299,10.8090984802,10.6988716748,10.6396284055,10.5153472602
LOC391692,7.4126536359,7.1723880476,7.432073652,7.1005666554,7.1046574827,7.1616386689
LOC391742,6.7816574991,6.6938371949,6.6663500669,7.0470067221,6.8789083946,6.9982663542
LOC391769,7.2231728639,7.180881336,7.6098789711,7.1055298922,7.0075672125,7.0553303136
LOC391817,7.2837963286,7.1352524197,7.274663304,6.9417696274,7.0115320904,6.9773025349
LOC392335,6.8256693573,6.8039813302,6.7935093376,6.9432866322,6.9441758334,6.8560737073
LOC392522,7.4984871199,7.3072921411,7.7824392769,7.1647120991,6.9836484406,7.0863275249
LOC399715,8.5692594298,8.7174434746,8.4981677214,7.1968048547,7.4147671255,7.4977230894
LOC399804,8.238853922,8.0469780772,9.0080780267,9.8960239552,9.2921261446,9.5804407841
LOC399988,12.3730980485,12.3926642879,13.0435210911,13.9322826839,13.6012971335,14.5368661196
LOC400013,9.5120270133,9.8696125452,9.9161557648,11.6006084028,11.4457647636,11.9559596164
LOC400061,7.2036293956,7.0883639651,7.4833401798,7.544487895,7.6008457446,7.5110116152
LOC400095,6.753210296,6.6744420546,6.643096011,6.8445727403,6.9554760343,6.8273946024
LOC400163,6.8181446332,6.7387931831,6.8306313984,6.9434793835,7.0157053087,6.9256671241
LOC400352,6.7883992713,6.7986523746,6.783887978,7.1569087247,6.950570278,7.0459947181
LOC400403,6.5901593754,6.532516578,6.626325159,6.7147349606,6.7966492718,6.686744047
LOC400696,6.6261177887,6.6594204191,6.6746850868,6.716889314,6.8525936614,6.8087528545
LOC400986,7.1408339375,7.1629802776,7.0061479001,7.4588737394,7.4270022001,7.4197565469
LOC401115,10.8131523169,10.630799048,10.6848596699,9.788635948,10.2395445811,9.8095808563
LOC401280,7.3489566446,7.3087196168,7.2676038925,7.0687229922,7.1099059808,7.1123551529
LOC401321,8.9293529628,8.9747038719,8.6748409289,9.9235757121,9.2116887247,10.2918001115
LOC401357,10.8914053557,11.050763887,10.9360471115,9.4961978535,10.5243805464,10.1582872579
LOC401533,7.1049779882,7.1234242939,6.8093390994,7.2844972251,7.3338558701,7.2351903841
LOC401537,10.1651045233,9.7376294176,10.8553121345,11.4365550596,10.5924383312,11.1093099172
LOC401589,7.1234817682,6.9895557079,7.1896931972,7.3344501359,7.3808652756,7.4329376654
LOC401630,7.0200895752,6.9994587179,6.993372899,6.7872437215,6.8932037817,6.943798692
LOC401677,7.5361363915,7.3957405813,7.3831928056,6.9938434528,7.0988965274,7.2564996935
LOC401717,8.5354528898,8.1827717921,8.3974026958,7.5204826201,7.4427145906,7.4318687693
LOC401934,7.0706880198,6.9831782728,7.0437884473,7.2659828078,7.1293837448,7.2784459913
LOC402057,6.9191380872,6.8929740155,7.0459335592,6.7443748796,6.6109988016,6.5263089595
LOC402112,8.4311145113,8.1591930003,8.9028179767,9.7141360606,9.0966063041,9.3873115564
LOC402221,8.0615483015,7.5496201392,8.6276553693,7.542454178,7.254217843,7.5938076506
LOC402677,7.6178296529,7.438154723,7.9279047514,7.3336179081,7.3145927203,7.2390921063
LOC439950,7.1535543184,7.2056918661,7.0983356078,7.4463719265,7.461382277,7.2877250081
LOC440027,13.0674975715,12.8101924915,13.6756617876,13.7580662018,13.4556695495,13.6002397312
LOC440055,8.2682618007,8.3213348508,7.8822158902,7.9325198577,7.9643651627,7.6136115651
LOC440268,7.0133510883,7.0532233949,7.0843086198,7.2987285304,7.3070353868,7.1953450383
LOC440309,6.9845395236,6.8603612581,6.9262315142,7.0926567805,7.2030252555,7.0056173294
LOC440341,10.4088271745,9.2884034419,10.0695049489,9.2157803214,9.1277035991,9.3468517954
LOC440348,10.9343934568,10.1920940077,10.9896653913,9.7858217407,9.6621968149,10.089141351
LOC440353,13.3033721068,12.2297216952,13.0107922727,12.0438169685,11.9083614185,12.4191062012
LOC440366,8.7867168533,8.1212646668,8.6641137067,8.0083286083,7.7975816274,8.0352591079
LOC440389,7.098545466,7.0999575055,7.1486258401,7.2551597349,7.2276876829,7.3414795661
LOC440459,6.9676302101,7.0786512146,6.8215716691,7.2150361141,7.2523938711,7.0935836053
LOC440558,6.5623568011,6.5208471983,6.4902760863,6.406213109,6.3555482187,6.4237521585
LOC440595,11.2280583414,10.7692244089,11.3967929163,10.2652743432,10.1952988868,10.1909903887
LOC440748,7.0030549826,7.0491956278,6.8813909805,7.100929639,7.2026173896,7.1235307317
LOC440895,7.3951701092,7.5990333954,7.3726216039,7.1354096141,7.0781094145,7.1286449518
LOC440900,8.5319761502,7.972391191,7.2516742519,7.2567048293,7.0814281056,6.8746188276
LOC440905,6.7746974499,6.8057319162,6.8610569476,6.9916454762,7.030937157,7.0699642228
LOC440917,6.8621624673,6.8120829296,6.9193571881,7.0557829696,6.9927592604,6.9470466806
LOC440926,12.5799674373,12.1718420651,12.5280355758,13.1912979941,12.9859316323,13.0868581784
LOC440992,7.0078762323,6.9770354831,6.9519329012,6.8039006081,6.844827529,6.8643687931
LOC441034,15.0831151508,15.0101065583,15.1751544042,15.3759393454,15.2856919237,15.2966226411
LOC441212,7.1984474849,7.2565185474,7.1871844685,7.0169864347,7.1595965482,7.0863411029
LOC441377,9.9314091924,9.7843448367,10.4843268814,8.9083817825,8.7636268979,8.5693030343
LOC441484,6.8275100466,6.7852786936,6.7770031399,7.0221458986,7.0119255471,6.8754346053
LOC441550,8.5161315359,8.2453341384,9.1876754462,8.00401436,7.9445473831,7.7799837924
LOC441554,7.0757259694,7.0283466333,7.0689647248,7.2061490671,7.1192894883,7.2683281371
LOC441582,6.7393588891,6.6851923733,6.8012648439,6.8763870309,6.9271665096,6.8196459069
LOC441584,6.9966479233,7.0154726711,7.0485844865,6.9887811669,6.8299409003,6.9275256647
LOC441662,7.4092273773,7.4410498646,7.4910865041,7.250595239,7.1862615756,7.3028469864
LOC441736,6.835093996,6.9275469822,6.9942800887,6.7793528637,6.7412169763,6.7470884606
LOC441864,7.0616453613,6.9281056282,6.8604000515,7.1173881652,7.1500625454,7.1677895221
LOC441876,14.5591995746,14.2103989816,14.6942167668,14.1789678819,13.8504591691,13.8653559106
LOC442249,6.9296846508,6.9423119104,6.9209071829,6.7865706655,6.8371444732,6.8520395753
LOC442421,7.6121656186,7.4182573075,7.9710516984,7.3288230008,7.2549584529,7.3986239217
LOC442711,6.9966501846,6.9574747772,7.0312286959,6.8549084624,6.8527220268,6.8604636822
LOC54103,8.6115042796,9.5256692593,8.8911979797,7.3220704847,8.7438164602,7.4518171516
LOC541472,6.9772486739,6.9619106302,7.0298251866,7.1623491685,7.1899154303,7.1733029883
LOC613037,11.2381291568,10.203554105,11.0959765968,10.0396098945,9.9070063131,10.4151025434
LOC613038,6.7716178833,6.7088744153,6.8087567267,6.9536851575,6.8895743188,6.8690578824
LOC641367,7.0834854268,6.9779044444,7.0618106717,7.2645710566,7.2878187686,7.4726955448
LOC641518,6.9518343909,6.9544847205,6.7323343091,7.1785737232,7.1371390388,6.9966270505
LOC641522,7.0310152864,7.1009277495,6.8481487202,6.7794607649,6.9085316623,6.6992752263
LOC641741,6.6844293685,6.7159039628,6.6905152051,6.9993418359,6.9027469109,6.9032191983
LOC641750,7.0202491783,6.9387937072,7.0440162885,6.8088673608,6.7723009175,6.7741185783
LOC641768,9.4245360976,9.288717063,10.1754008572,8.9074458239,8.5066957503,8.5910465883
LOC641798,7.4918888693,7.5123422735,7.5065580045,7.8954160812,7.8963029607,7.806638592
LOC641808,7.0584467515,7.1209362171,7.0844171309,6.943330998,7.0111774525,6.8662197617
LOC641814,12.249066274,12.1421262065,12.8241566905,13.2984610912,12.8410704837,12.8746976829
LOC641834,7.1095331372,7.0959260757,7.0439089004,6.9986326965,6.9274077375,6.972114397
LOC641958,6.7499463572,6.8328979873,6.8860510067,6.9294292603,6.9637943743,7.0281143115
LOC641987,6.8702075,6.8923686311,6.8703277296,7.0093109555,6.9887512123,7.0304262724
LOC641996,8.3917961176,8.4444500213,8.3841623217,7.4762170886,7.9016929729,7.5064496833
LOC642073,11.8677866089,11.4203713282,12.9672462947,10.0582300027,8.9207255048,10.1749133652
LOC642076,7.7177235456,7.4680034823,8.0100822569,7.4640929931,7.3678998011,7.4654522185
LOC642120,7.0092157033,6.8961492918,6.967250797,7.2435565812,7.124878123,7.1418202205
LOC642165,7.1093996055,7.0651920478,7.1184632699,6.8750127416,6.9167682192,6.9993031971
LOC642181,6.9931662661,7.0013772685,6.9242264101,6.7722313375,6.8369773217,6.7363057038
LOC642197,7.392403987,7.2643113908,7.4939326544,7.9689519336,7.7778407085,7.7645766177
LOC642210,10.9109585297,10.7669831363,11.3057626589,11.655912171,11.2743900829,11.4655492414
LOC642236,9.7549814269,9.4717972688,9.8531100934,10.0909638213,10.2669731675,10.2156322672
LOC642276,6.9546096497,6.9714569248,7.0387986528,6.8309224869,6.8790134883,6.8300156453
LOC642377,7.7754466571,7.811329222,7.8325233609,7.5129422822,7.4412574169,7.5519352529
LOC642398,7.2908623542,7.436271494,7.2602162917,6.9533003511,7.0198832466,6.9467813877
LOC642403,6.7896702826,6.7246489365,6.7528123644,6.9489096269,6.992162113,6.9705190683
LOC642405,6.5855668951,6.634962191,6.6433244496,6.8346832878,6.7535189537,6.7658849684
LOC642420,6.7687456572,6.7015862955,6.7305384953,6.8374840569,6.9288122742,6.9657157474
LOC642447,7.017032327,6.987242117,6.9461657098,7.0563750025,7.1622648796,7.1506630063
LOC642539,6.9711953049,7.0016949021,7.0264086229,7.1597027391,7.1266189311,7.2200574943
LOC642567,9.7487898935,10.1859448127,9.7172709822,8.1375998275,8.5632623028,7.6484354089
LOC642607,6.7099429935,6.7635089949,6.8053622203,6.9343102061,7.0296750445,6.9529797168
LOC642660,6.8819725577,6.9309566144,6.7824010881,7.0212328602,7.0843002811,7.0208574983
LOC642678,6.7709381039,6.7701147504,6.8087114228,7.1628515061,7.274630406,7.8789267863
LOC642771,7.0614063032,6.9697250863,6.9447173663,7.5145638755,7.5904738604,7.3786652144
LOC642817,8.4235932188,8.2856520879,8.6197768869,9.0161939423,8.6352814216,8.6822766848
LOC642892,13.5801470292,13.2461597832,14.0151046465,14.1432141211,13.8950519758,14.0684978497
LOC642935,7.3196459459,7.4154031612,7.4332868538,7.2638291137,7.1847115537,7.154475274
LOC642975,10.7274022483,10.7671633346,10.8885045067,11.2321208954,11.4476147065,11.5033039488
LOC642981,7.0956554403,7.0736387672,6.9669612888,7.4131977071,7.6016490292,7.4615388697
LOC643006,6.6679682791,6.5844840925,6.7014999122,6.786582506,6.786483482,6.7811247742
LOC643008,6.7266716686,6.7344011241,6.5994492811,6.850224213,6.9237442686,6.8298087697
LOC643012,7.1093827126,7.0669087756,7.14948765,7.2433157426,7.3133497727,7.3347842831
LOC643031,12.0816689271,12.1202835203,11.8753295845,13.2222005873,13.371841407,13.3949721191
LOC643154,6.9501983743,6.908467495,6.9157211946,7.1376468545,7.089825081,6.9752247639
LOC643226,6.9220134631,6.8613216532,6.88094236,7.0643799459,7.1002165499,7.0794875151
LOC643227,7.0336045705,6.9359400044,6.9401231338,6.8285348609,6.7310545098,6.8512696082
LOC643240,6.9318185438,6.8963732026,6.9808419409,7.0867481787,6.9745896951,7.2097378067
LOC643300,6.7320186632,6.7137762782,6.7035767479,7.4232981174,7.0708523961,7.3165566962
LOC643318,6.8142496247,6.7848428522,6.9241413238,6.93570827,6.9090076991,6.9739283286
LOC643363,6.7338811769,6.6779974281,6.6987797973,6.7538824032,6.8834258895,6.9108727913
LOC643444,7.0299980617,7.1120192656,7.0926359333,7.2338381294,7.291064011,7.2635212656
LOC643451,6.9900626954,6.8866337394,6.8547399524,7.0649370474,7.1439908887,7.1154515735
LOC643454,7.0190397403,7.0221154248,6.9066683261,7.1145340381,7.07318387,7.2062112186
LOC643502,6.8241783144,6.8753146794,6.8239026103,7.0757479024,7.2605870811,7.1922827377
LOC643550,7.3483696004,7.4280207739,7.4786027723,7.1477646951,7.1251047229,7.2737033412
LOC643665,7.1690145673,7.1233681968,7.1526959212,7.0249758767,7.0568641213,6.9111010731
LOC643672,7.1798044163,7.0351071123,7.0714308386,6.9606349443,6.9136365186,6.9952598204
LOC643686,7.3056647406,7.1501577207,7.1158578283,6.9071107005,6.9698086852,7.0091977133
LOC643699,6.8789451158,6.8180839227,6.873564577,7.038415479,6.9797057331,7.1036787147
LOC643714,6.9116871605,6.8708875805,6.8248392731,7.045048323,7.0367465399,7.0463076614
LOC643761,6.9273463726,6.9408374645,6.8891528675,6.8468809196,6.7551157129,6.8112578888
LOC643836,7.0125227803,6.9859007441,6.9364555547,6.9332003426,6.8565237523,6.8617318218
LOC643888,6.8345116214,6.8312554732,6.8891519399,7.0024541873,6.9563628601,7.0750981599
