GeneSymbol,MedianCLIP,MedianL243,selectedMedian
13CDNA73,0.34299999999999997,-1.0755,1.0755
15E1.2,-1.507,-1.95,1.95
182-FIP,-0.2905,-0.017000000000000015,0.2905
384D8-2,-0.8565,0.7355,0.8565
3'HEXO,-1.109,-0.11700000000000002,1.109
7A5,-0.3275000000000001,-1.3079999999999998,1.3079999999999998
7H3,1.706,0.6045,1.706
8D6A,-1.7125,0.5115000000000001,1.7125
A1BG,0.6745,-0.2045,0.6745
A2BP1,-0.9735,-1.2465000000000002,1.2465000000000002
A2LP,-0.8455,-0.454,0.8455
AAA1,0.391,-0.02300000000000002,0.391
AACS,0.066,-0.732,0.732
AADAT,-0.9645,-0.07500000000000001,0.9645
AARS,1.559,0.47550000000000003,1.559
AARSL,-0.12150000000000002,-0.8255,0.8255
AASDHPPT,0.965,0.231,0.965
AB026190,1.164,2.384,2.384
ABC1,-0.4905,-0.5315,0.5315
ABCA10,-0.056999999999999995,-0.81,0.81
ABCA12,0.567,1.0535,1.0535
ABCA13,0.46,-0.21500000000000002,0.46
ABCA2,1.63,1.867,1.867
ABCA3,3.168,4.8165,4.8165
ABCA5,0.0915,0.5025,0.5025
ABCA6,-0.4305,-0.1695,0.4305
ABCA7,0.778,-1.174,1.174
ABCA8,1.0015,-0.6315000000000001,1.0015
ABCA9,0.6185,0.303,0.6185
ABCB10,-0.84,0.07949999999999999,0.84
ABCB5,-1.0745,-1.203,1.203
ABCB6,0.64,-0.1885,0.64
ABCB8,0.246,-0.453,0.453
ABCB9,-0.2165,-0.289,0.289
ABCC11,-1.7574999999999998,0.121,1.7574999999999998
ABCC12,-2.0035,-1.326,2.0035
ABCC13,-0.9620000000000001,-1.228,1.228
ABCC4,-0.11349999999999999,-0.6605000000000001,0.6605000000000001
ABCD2,0.2345,0.011999999999999997,0.2345
ABCD4,0.264,0.025499999999999995,0.264
ABCE1,1.991,0.613,1.991
ABCF1,1.3825,-0.20900000000000002,1.3825
ABCF2,-0.3715,-0.12150000000000001,0.3715
ABCF3,-0.035,0.9299999999999999,0.9299999999999999
ABCG1,-0.864,-0.1565,0.864
ABCG4,1.6184999999999998,0.776,1.6184999999999998
ABHD1,1.0030000000000001,-0.284,1.0030000000000001
ABHD7,-0.5754999999999999,-0.202,0.5754999999999999
ABI3,-0.84,-0.739,0.84
ABLIM2,1.3215,-0.436,1.3215
ABLIM3,1.043,-0.1945,1.043
ABTB2,-0.369,-0.778,0.778
ACAD8,-0.7324999999999999,-0.624,0.7324999999999999
ACAD9,0.1375,0.556,0.556
ACAS2L,1.2365,0.17000000000000004,1.2365
ACATE2,0.16349999999999998,1.9415,1.9415
ACBD3,-0.311,-0.05000000000000002,0.311
ACBD4,-0.4445,-0.562,0.562
ACBD5,-0.5975,-0.696,0.696
ACBD6,0.9755,0.37749999999999995,0.9755
ACCN1,-0.42900000000000005,-0.5455,0.5455
ACCN2,2.8354999999999997,1.8355,2.8354999999999997
ACCN3,0.8385,-2.4035,2.4035
ACCN4,-0.516,0.8554999999999999,0.8554999999999999
ACCN5,-0.691,0.9544999999999999,0.9544999999999999
ACDC,0.1575,-1.591,1.591
ACF,-0.5765,-0.491,0.5765
ACLY,1.5615,-0.4875,1.5615
ACMSD,-0.581,0.5775,0.581
ACN9,0.3105,-0.42500000000000004,0.42500000000000004
ACO1,0.3585,1.0855000000000001,1.0855000000000001
ACO2,0.52,1.397,1.397
ACOX3,1.4625,-0.8825000000000001,1.4625
ACOXL,0.3235,2.1555,2.1555
ACRBP,1.589,1.9554999999999998,1.9554999999999998
ACRC,-0.12350000000000001,0.665,0.665
ACRV1,1.909,0.742,1.909
ACSL1,-0.498,0.916,0.916
ACSL5,-1.3915,-0.875,1.3915
ACSL6,0.522,0.247,0.522
ACTBL1,0.8494999999999999,3.2439999999999998,3.2439999999999998
ACTR10,-4.427,0.3605,4.427
ACTR5,0.707,-0.0215,0.707
ACTR6,-0.7,-0.04250000000000001,0.7
ACTR8,-1.6844999999999999,-1.0350000000000001,1.6844999999999999
ACTRT1,-0.07799999999999996,2.4645,2.4645
ACY1L2,-1.6315,-0.3335,1.6315
ACY-3,0.019999999999999962,0.7365,0.7365
AD-003,-0.33099999999999996,-1.9660000000000002,1.9660000000000002
AD-017,-1.6355,0.213,1.6355
AD-020,2.002,1.2075,2.002
AD023,1.192,0.237,1.192
AD026,-0.4075,-0.5205,0.5205
AD031,2.543,0.574,2.543
AD158,0.7235,1.017,1.017
AD7C-NTP,1.696,3.029,3.029
ADAM19,0.9055,-1.6335,1.6335
ADAM33,-0.5089999999999999,1.2280000000000002,1.2280000000000002
ADAM3A,1.283,-1.524,1.524
ADAM7,0.3215000000000001,-1.247,1.247
ADAM8,1.2965,0.5904999999999999,1.2965
ADAMTSL3,0.021999999999999992,0.07450000000000001,0.07450000000000001
ADAR,2.213,1.36,2.213
ADARB1,1.679,0.7145,1.679
ADARB2,0.591,-1.27,1.27
ADAT1,-1.342,0.069,1.342
ADCY1,0.662,-0.719,0.719
ADCY2,0.7165,-0.055499999999999994,0.7165
ADCY3,0.5345,-0.09250000000000003,0.5345
ADCY4,1.146,2.3689999999999998,2.3689999999999998
ADCY5,0.562,-0.625,0.625
ADCY6,-0.04799999999999999,-1.991,1.991
ADCY7,1.947,2.1254999999999997,2.1254999999999997
ADCY8,1.7,0.7030000000000001,1.7
ADCY9,-0.3215,-1.2890000000000001,1.2890000000000001
ADCYAP1,0.095,0.9504999999999999,0.9504999999999999
ADCYAP1R1,0.534,-0.041,0.534
ADFP,0.6165,-1.2890000000000001,1.2890000000000001
ADH5B,-0.22149999999999997,1.245,1.245
ADHFE1,-1.147,0.264,1.147
ADIPOR1,0.538,-1.2485,1.2485
ADIPOR2,-0.175,-1.029,1.029
ADM2,0.128,-0.7290000000000001,0.7290000000000001
ADMP,-1.292,-0.6835,1.292
ADMR,3.371,2.972,3.371
ADNP,-0.3125,-0.662,0.662
ADORA1,0.5425,0.853,0.853
ADORA2A,1.913,0.557,1.913
ADORA2B,0.025,-0.166,0.166
ADORA3,0.812,1.632,1.632
ADP-GK,0.3315,2.0010000000000003,2.0010000000000003
ADRA1A,-1.946,-1.178,1.946
ADRA1B,-0.385,-0.912,0.912
ADRA1D,1.825,0.144,1.825
ADRA2A,0.167,-0.407,0.407
ADRA2B,0.227,0.189,0.227
ADRA2C,3.195,2.0645000000000002,3.195
ADRB1,0.208,0.247,0.247
ADRB2,1.0359999999999998,0.6365,1.0359999999999998
ADRB3,0.5985,0.485,0.5985
ADRBK1,0.2615,1.7309999999999999,1.7309999999999999
ADRBK2,-0.738,-2.159,2.159
ADRM1,0.859,-2.2735000000000003,2.2735000000000003
ADSSL1,-0.75,0.05450000000000001,0.75
AE2,2.207,-1.412,2.207
AEBP1,-1.4605,-0.3575,1.4605
AEBP2,0.521,0.23,0.521
AES,0.9125,-0.6985,0.9125
AF15Q14,1.2145,0.734,1.2145
AFAP,-0.9085000000000001,-0.478,0.9085000000000001
AFG3L2,-0.7769999999999999,0.829,0.829
AFM,0.338,0.7829999999999999,0.7829999999999999
AFTIPHILIN,-6.207,-2.1265,6.207
AGMAT,-0.5755,-0.356,0.5755
AGPAT3,0.778,-0.244,0.778
AGPAT4,0.881,0.3285,0.881
AGR2,0.17049999999999998,-0.459,0.459
AGRN,1.2934999999999999,0.5925,1.2934999999999999
AGTPBP1,-1.335,0.9520000000000001,1.335
AGTR1,-0.918,0.216,0.918
AGTR2,0.575,0.29150000000000004,0.575
AGTRL1,-0.433,-1.199,1.199
AGXT2,0.069,1.3655,1.3655
AGXT2L1,0.206,0.355,0.355
AHI1,-1.331,-0.794,1.331
AHSA2,-1.185,-0.4635,1.185
AHSG,0.3105,0.4485,0.4485
AIG1,-0.7474999999999999,0.5920000000000001,0.7474999999999999
AIM1,-2.3275,-2.6824999999999997,2.6824999999999997
AIM1L,0.27699999999999997,2.7595,2.7595
AK3L2,-0.818,0.662,0.818
AKAP8L,0.182,0.475,0.475
AKR1CL1,-0.1875,-0.7035,0.7035
AKT1,0.574,-1.262,1.262
AKT1S1,0.886,0.3065,0.886
ALAS1,0.271,-0.3035,0.3035
ALDH8A1,0.3320000000000001,0.245,0.3320000000000001
ALG1,-1.1875,0.24750000000000003,1.1875
ALG10,0.944,-0.40800000000000003,0.944
ALG2,-0.5075,-0.6605000000000001,0.6605000000000001
ALG5,-0.621,0.5895,0.621
ALG8,-0.1955,-1.061,1.061
ALLC,-2.444,-0.9035000000000001,2.444
ALOX12,0.026,-0.41500000000000004,0.41500000000000004
ALOX15,-0.4345,-0.5375,0.5375
ALOX5AP,0.2845,-0.7565,0.7565
ALPHA4GNT,0.0605,1.4975,1.4975
ALS2CR13,-0.863,0.11249999999999999,0.863
ALS2CR15,-0.9435,-0.7865,0.9435
ALS2CR16,-0.951,0.392,0.951
ALS2CR17,-0.23,0.178,0.23
AMAC,-1.138,0.287,1.138
AMACO,-0.736,-0.194,0.736
AMBN,-0.079,1.3719999999999999,1.3719999999999999
AMBP,0.735,1.575,1.575
AMD1,0.921,0.885,0.921
AMELY,-0.4605,0.23099999999999998,0.4605
AMICA,0.274,0.691,0.691
AMIGO2,2.464,0.927,2.464
AMIGO3,-1.326,0.139,1.326
AMOT,0.439,0.275,0.439
AMOTL1,0.519,1.713,1.713
AMOTL2,-0.05300000000000002,-1.5859999999999999,1.5859999999999999
AMPD2,-0.39999999999999997,-0.53,0.53
AMPH,0.3805,0.28,0.3805
AMY1A,-0.7344999999999999,-0.012499999999999997,0.7344999999999999
AMY2A,-0.11,0.4415,0.4415
AMY2B,0.12,0.05299999999999999,0.12
ANAPC13,-0.742,0.498,0.742
ANC_2H01,-0.55,1.786,1.786
ANGPTL5,0.798,0.516,0.798
ANGPTL6,-0.048,-1.092,1.092
ANKFY1,0.4965,0.9275,0.9275
ANKHD1,0.5205,0.827,0.827
ANKIB1,-0.9289999999999999,-0.2635,0.9289999999999999
ANKMY1,-0.3095,-0.9585,0.9585
ANKMY2,0.7685,-1.589,1.589
ANKRA2,-0.6125,0.5299999999999999,0.6125
ANKRD10,1.3780000000000001,-0.2,1.3780000000000001
ANKRD11,-0.037500000000000006,-0.446,0.446
ANKRD12,0.438,-0.341,0.438
ANKRD13,0.707,-0.081,0.707
ANKRD15,0.2985,0.21300000000000002,0.2985
ANKRD16,-1.7015,-1.894,1.894
ANKRD17,-1.2765,0.09499999999999997,1.2765
ANKRD19,0.018,-0.635,0.635
ANKRD2,0.05449999999999999,0.681,0.681
ANKRD20A,-0.518,-0.343,0.518
ANKRD21,1.57,0,1.57
ANKRD22,0.013,0.476,0.476
ANKRD23,0.724,3.005,3.005
ANKRD24,0.572,0,0.572
ANKRD25,0.7105,0.096,0.7105
ANKRD26,0.0595,-1.4975,1.4975
ANKRD27,2.164,-0.584,2.164
ANKRD28,1.675,0.1805,1.675
ANKRD29,-0.681,-0.166,0.681
ANKRD30A,2.158,1.228,2.158
ANKRD31,-0.601,-0.573,0.601
ANKRD32,0.486,0.404,0.486
ANKRD6,1.1355,0.5275,1.1355
ANKRD9,-0.546,-0.363,0.546
ANKS1,1.444,4.728,4.728
ANP32A,-0.3825,-1.6215,1.6215
ANP32B,0.7869999999999999,0.646,0.7869999999999999
ANP32E,-0.69,-0.698,0.698
ANTXR1,-0.218,-0.519,0.519
ANTXR2,-0.159,-0.37,0.37
ANUBL1,-0.557,-0.034,0.557
ANXA2P1,-0.21850000000000003,-0.9139999999999999,0.9139999999999999
ANXA2P3,-0.8704999999999999,-0.5680000000000001,0.8704999999999999
AOC2,-1.5585,0.8320000000000001,1.5585
AOC3,0.00649999999999995,-1.2035,1.2035
AOF1,-0.306,0.536,0.536
AP1B1,0.814,-0.261,0.814
AP1G1,0.9365,-0.01200000000000001,0.9365
AP1G2,0.41700000000000004,-0.22399999999999998,0.41700000000000004
AP1M1,0.3975000000000001,-2.0785,2.0785
AP1M2,0.1815,-0.612,0.612
AP1S1,0.17300000000000001,0.508,0.508
AP1S2,0.6955,0.008000000000000007,0.6955
AP1S3,0.034,-0.903,0.903
AP2A1,1.104,2.54,2.54
AP2A2,-0.49250000000000005,0.08499999999999999,0.49250000000000005
AP2E,-0.586,-1.646,1.646
AP2M1,2.223,0.9424999999999999,2.223
AP2S1,2.2195,1.73,2.2195
AP3B2,0.35550000000000004,-0.71,0.71
AP3D1,0.04300000000000001,-0.7955,0.7955
AP3M1,0.706,-0.1375,0.706
AP3M2,0.0905,-0.15100000000000002,0.15100000000000002
AP3S1,0.866,-2.2235,2.2235
AP3S2,1.6135,1.573,1.6135
AP4B1,0.5269999999999999,0.606,0.606
AP4E1,-0.8525,-0.03900000000000001,0.8525
AP4M1,-1.5145,-0.921,1.5145
AP4S1,0.579,0.3345,0.579
APBA1,-0.536,-1.143,1.143
APBA2,0.026499999999999996,-0.099,0.099
APBA2BP,-0.154,-1.01,1.01
APBA3,0.82,-0.525,0.82
APBB1IP,0.294,0.9624999999999999,0.9624999999999999
APBB2,-1.448,0.727,1.448
APCDD1,-1.201,-1.004,1.201
APEX2,-0.8915,-1.192,1.192
APG10L,-0.873,0.68,0.873
APG16L,-0.729,0,0.729
APG3,-0.635,0.1125,0.635
APG4A,-0.162,0.3,0.3
APG4B,-0.47150000000000003,0.7365,0.7365
APG4C,0,0.414,0.414
APG4D,0.204,-1.474,1.474
APH-1A,0.1645,0.278,0.278
APIN,0.103,-0.686,0.686
APLN,2.083,0.8165,2.083
APM-1,-0.673,0.713,0.713
APOA1BP,-0.227,0.126,0.227
APOA5,1.402,0.822,1.402
APOL5,-1.053,-1.018,1.053
APOL6,0.752,0.551,0.752
APPBP1,0.134,0.5295,0.5295
APRG1,-0.879,0.561,0.879
APXL,-0.06699999999999998,0.624,0.624
APXL2,-0.95,-1.3,1.3
AQP10,-0.829,-0.615,0.829
AQP11,0.917,0.223,0.917
AQP12,-0.409,1.228,1.228
ARC92,-0.169,0.467,0.467
ARCH,-0.107,-0.217,0.217
ARD1,0.5960000000000001,0.352,0.5960000000000001
ARFIP1,1.0010000000000001,1.0095,1.0095
ARFRP2,0.754,0.4265,0.754
ARG2,0.566,1.411,1.411
ARG99,0.42,-1.014,1.014
ARGBP2,-0.22350000000000003,-0.3675,0.3675
ARHGAP11A,-1.3905,-0.1805,1.3905
ARHGAP12,1.833,-0.438,1.833
ARHGAP15,-1.1365,0.1775,1.1365
ARHGAP17,-0.9815,1.051,1.051
ARHGAP18,-0.179,0.887,0.887
ARHGAP19,0.688,0.178,0.688
ARHGAP20,1.2515,-1.075,1.2515
ARHGAP21,0.063,0.9425000000000001,0.9425000000000001
ARHGAP22,-0.186,0.643,0.643
ARHGAP23,-0.607,-0.285,0.607
ARHGAP24,0.182,-1.08,1.08
ARHGAP25,0.1855,0.32900000000000007,0.32900000000000007
ARHGAP9,-0.001,0.91,0.91
ARHGEF19,-0.851,-0.765,0.851
ARID1B,-0.289,-1.109,1.109
ARID2,-0.8495,0.17,0.8495
ARID3C,-0.059,0.076,0.076
ARID5A,-0.3815,-1.5405,1.5405
ARIH2,0.71,0.37149999999999994,0.71
ARL1,-0.7325,-0.594,0.7325
ARL10A,-0.147,-0.51,0.51
ARL10B,-0.1675,0.4125,0.4125
ARL10C,0.7415,-0.6735,0.7415
ARL11,0.968,-0.142,0.968
ARL2BP,0.544,0.273,0.544
ARL3,1.825,1.296,1.825
ARL6,-0.964,-1.031,1.031
ARL6IP,-1.531,-0.35450000000000004,1.531
ARL6IP2,0.053,-0.654,0.654
ARL6IP5,-0.2435,-0.42600000000000005,0.42600000000000005
ARL7,-0.1545,-1.248,1.248
ARL8,-1.345,-2.602,2.602
ARMC2,-0.754,-0.27,0.754
ARMC3,-0.836,-0.89,0.89
ARMC4,-0.6065,-0.856,0.856
ARMCX1,-0.026499999999999996,0.2155,0.2155
ARMCX2,-0.893,0.13549999999999995,0.893
ARMCX3,0.4375,-1.6925000000000001,1.6925000000000001
ARP10,0.753,0.127,0.753
ARPC5L,-0.741,-0.048,0.741
ARPM1,-0.521,-0.549,0.549
ARPM2,-0.1375,1.3215,1.3215
ARPP-21,2.1479999999999997,0.2075,2.1479999999999997
ARR3,0.325,1.299,1.299
ARRB1,1.174,-0.852,1.174
ARRB2,-0.651,-0.918,0.918
ARRDC1,-0.599,0.093,0.599
ARRDC2,-0.907,-0.868,0.907
ARRDC3,0.286,-0.848,0.848
ARRDC4,0.535,-0.34,0.535
ARS,0.477,-1.343,1.343
ARS2,0.9925,-0.358,0.9925
ARSD,0,-0.505,0.505
ARSF,-0.935,-0.608,0.935
ART5,1.505,0.807,1.505
ARTN,1.176,0.505,1.176
ARV1,-0.025,-1.2,1.2
ASAH2,0.375,0.687,0.687
ASAH3,1.506,1.33,1.506
ASAHL,0.306,1.3715000000000002,1.3715000000000002
ASAM,-0.295,-0.912,0.912
ASB1,-1.212,2.854,2.854
ASB10,2.302,1.075,2.302
ASB11,-1.221,0.582,1.221
ASB12,0.177,0.572,0.572
ASB13,1.076,1.424,1.424
ASB14,-0.366,-1.244,1.244
ASB15,0.231,0.079,0.231
ASB16,-0.343,0,0.343
ASB17,0.009,-0.343,0.343
ASB18,-1.034,-2.158,2.158
ASB3,-0.1395,1.2355,1.2355
ASB4,-0.6855,-0.7915,0.7915
ASB5,-0.452,0.822,0.822
ASB6,1.123,0.965,1.123
ASB7,-0.501,-0.284,0.501
ASB8,-0.214,-0.125,0.214
ASB9,-0.9829999999999999,0.13699999999999996,0.9829999999999999
ASC1P100,-0.021,0.566,0.566
ASCC1,0.08449999999999999,-0.258,0.258
ASCL2,0.9365,0.22999999999999998,0.9365
ASCL3,-0.81,0.574,0.81
ASCL4,-0.329,-0.009,0.329
ASE-1,-0.424,1.585,1.585
ASF1A,-0.835,-0.23950000000000002,0.835
ASF1B,-0.3755,-3.3875,3.3875
ASH2L,0.05999999999999997,-0.14250000000000002,0.14250000000000002
ASMTL,0.994,0.0315,0.994
ASNA1,-0.2705,-0.3115,0.3115
ASPH,0.436,2.682,2.682
ASPN,0.3825,0.3785,0.3825
ASRGL1,-1.136,-0.519,1.136
ASTL,1.941,-0.931,1.941
ASTN,-1.2375,-2.726,2.726
ASTN2,0.5485,-0.55,0.55
ASXL1,0.406,-1.906,1.906
ASXL2,-0.314,0.413,0.413
ATAD1,-0.389,0.23,0.389
ATAD3A,-0.6725,-0.26649999999999996,0.6725
ATAD3B,1.113,-0.942,1.113
ATCAY,0.624,-0.669,0.669
ATE1,-0.318,-0.8345,0.8345
ATOH1,-1.0505,-1.7279999999999998,1.7279999999999998
ATOH7,0.717,0.039,0.717
ATOX1,-1.8595000000000002,-1.7744999999999997,1.8595000000000002
ATP10A,-0.8694999999999999,0.1305,0.8694999999999999
ATP10D,-0.69,-0.16,0.69
ATP11A,0.2475,-1.8495000000000001,1.8495000000000001
ATP11C,-0.08,1.237,1.237
ATP12A,-0.7985,0.023999999999999994,0.7985
ATP1A1,-0.6735,-0.3035,0.6735
ATP1A3,5.000000000000004e-4,0.3175,0.3175
ATP1A4,-1.4135,-0.8714999999999999,1.4135
ATP1B1,-0.743,0.05050000000000002,0.743
ATP1B2,-1.948,-0.33899999999999997,1.948
ATP1B3,-1.009,1.927,1.927
ATP1B4,-1.263,-1.7925,1.7925
ATP2B1,-0.7869999999999999,0.681,0.7869999999999999
ATP2B2,1.04,0.9865,1.04
ATP2B3,-2.131,-1.1575000000000002,2.131
ATP2B4,-2.198,-0.4255,2.198
ATP4A,-1.135,0.7135,1.135
ATP4B,-3.0955000000000004,-1.2655,3.0955000000000004
ATP5A1,0.667,-0.491,0.667
ATP5B,1.503,1.2745000000000002,1.503
ATP5D,-0.2465,-0.7204999999999999,0.7204999999999999
ATP5E,-0.118,-0.052500000000000005,0.118
ATP5F1,0.988,0.211,0.988
ATP5G1,0.2415,0.147,0.2415
ATP5G2,0.828,0.804,0.828
ATP5G3,0.5095000000000001,0.14049999999999999,0.5095000000000001
ATP5I,0.545,0.4615,0.545
ATP5J2,0.2205,0.361,0.361
ATP5L,0.1895,0.3535,0.3535
ATP5L2,0.575,0.699,0.699
ATP5S,-2.0255,1.3570000000000002,2.0255
ATP6AP1,0.952,0.05150000000000002,0.952
ATP6AP2,-0.4415,0.1835,0.4415
ATP6V0A1,1.3095,-2.271,2.271
ATP6V0A2,-1.5305,-0.17550000000000002,1.5305
ATP6V0B,0.12649999999999997,-1.8450000000000002,1.8450000000000002
ATP6V0C,1.551,-0.7615000000000001,1.551
ATP6V0D1,-0.6134999999999999,-1.1925000000000001,1.1925000000000001
ATP6V0D2,-0.163,-0.28,0.28
ATP6V0E,0.7565,0.6175,0.7565
ATP6V1A,1.81,-0.988,1.81
ATP6V1B2,0.07500000000000001,-1.1059999999999999,1.1059999999999999
ATP6V1C1,1.1725,0.35650000000000004,1.1725
ATP6V1C2,1.0205000000000002,-0.4035,1.0205000000000002
ATP6V1E1,-0.014499999999999999,-1.472,1.472
ATP6V1E2,-0.175,-0.608,0.608
ATP6V1G1,1.86,-1.472,1.86
ATP6V1G2,0.3125,-0.625,0.625
ATP6V1G3,0.311,0.761,0.761
ATP8B3,-0.8514999999999999,0.451,0.8514999999999999
ATP8B4,0.565,-0.057,0.565
ATP9B,-1.105,-1.765,1.765
ATPAF1,0.109,1.48,1.48
ATPAF2,-0.368,-0.633,0.633
ATPIF1,-1.24,-1.332,1.332
ATRN,0.31749999999999995,-0.442,0.442
ATRNL1,-1.3864999999999998,-0.0034999999999999996,1.3864999999999998
ATXN3L,-0.48,0.229,0.48
AUP1,-0.508,-0.196,0.508
AVIL,-2.3045,-0.40449999999999997,2.3045
AVO3,-0.607,0.182,0.607
AVPI1,1.16,2.008,2.008
AVPR1A,1.222,1.232,1.232
AVPR1B,0.106,1.359,1.359
AVPR2,0.871,0.835,0.871
AWP1,-1.139,-0.19399999999999998,1.139
AYP1,0.414,-0.957,0.957
AZ2,-0.004,0.167,0.167
AZGP1,-0.752,-0.237,0.752
AZI1,-0.959,0.604,0.959
B1,-4.0695,-1.366,4.0695
B3GALT1,-0.8945,0.045499999999999985,0.8945
B3GALT2,-0.2395,0.8155,0.8155
B3GALT3,-0.4045,0.5635,0.5635
B3GALT4,-5.8635,-1.266,5.8635
B3GALT5,-0.28049999999999997,-0.7170000000000001,0.7170000000000001
B3GALT6,0.533,0.734,0.734
B3GALT7,0.383,1.644,1.644
B3GAT1,0.36050000000000004,0.5245,0.5245
B3GAT2,-0.844,-0.788,0.844
B3GAT3,-0.6094999999999999,-0.78,0.78
B3GNT1,-2.1725,-0.7865000000000001,2.1725
B3GNT4,0.481,0.836,0.836
B3GNT5,-0.615,0.911,0.911
B3GNT6,0.919,0.38750000000000007,0.919
B3GNT7,1.504,-0.55,1.504
B3GTL,-0.127,-0.26,0.26
B4GALNAC-T3,0.692,1.333,1.333
B4GALT2,0.094,1.7134999999999998,1.7134999999999998
B4GALT3,-0.9245,-1.4735,1.4735
B4GALT4,0.1465,1.1955,1.1955
B4GALT5,0.6709999999999999,-0.9930000000000001,0.9930000000000001
B4GALT6,-0.3305,-0.5945,0.5945
B7,-1.0635,0.957,1.0635
B7H3,0.394,1.508,1.508
B7-H4,1.193,1.744,1.744
BA108L7.2,0.073,0.742,0.742
BA395L14.13,-0.442,0.731,0.731
BA526D8.4,0.067,1.189,1.189
BAALC,-1.995,-1.015,1.995
BACE1,0.641,3.052,3.052
BACE2,0.5379999999999999,-1.0135,1.0135
BAGE,-0.365,0.5289999999999999,0.5289999999999999
BAGE2,0.396,1.736,1.736
BAGE3,0.18,1.182,1.182
BAGE4,0.365,0.393,0.393
BAHD1,-0.9500000000000001,-2.173,2.173
BAI1,-0.812,-0.118,0.812
BAI2,-0.378,0.068,0.378
BAI3,0.316,-0.446,0.446
BAL,-0.364,-1.249,1.249
BAMBI,0.265,-0.9850000000000001,0.9850000000000001
BANF1,-1.7120000000000002,-0.08599999999999997,1.7120000000000002
BANK1,-0.3235,-1.1340000000000001,1.1340000000000001
BARHL1,-0.34,0.215,0.34
BARHL2,-0.8109999999999999,-0.107,0.8109999999999999
BAT1,-0.6415,1.0434999999999999,1.0434999999999999
BAT2,-1.0205,0.876,1.0205
BAT3,-0.2235,1.744,1.744
BAT4,-0.5509999999999999,0.445,0.5509999999999999
BAT5,-0.196,2.3275,2.3275
BAZ1A,-0.6759999999999999,0.956,0.956
BAZ2A,-1.955,-0.6930000000000001,1.955
BAZ2B,-0.6615,0.9065,0.9065
BBAP,-1.57,-0.337,1.57
BBOX1,0.8105,0.406,0.8105
BBP,0.068,-0.28,0.28
BBS5,-0.268,1.362,1.362
BBX,0.7805000000000001,0.539,0.7805000000000001
BC002942,-0.471,-0.419,0.471
BC008967,-0.302,-0.955,0.955
BC-2,0.412,2.6635,2.6635
BCAN,1.353,0.741,1.353
BCAP31,0.564,0.47,0.564
BCAS3,-0.458,0.3375,0.458
BCAS4,-0.3695,0.1315,0.3695
BCDO2,-0.349,0.165,0.349
BCL11B,-1.1245,2.1835,2.1835
BCL2L12,0.126,-0.706,0.706
BCL7C,0.597,-1.6720000000000002,1.6720000000000002
BCL9L,1.775,1.08,1.775
BCLP,-0.112,-0.319,0.319
BCMO1,-1.0595,-0.474,1.0595
BCMP11,-1.2315,-0.8505,1.2315
BCNP1,0.421,-0.713,0.713
BCOR,0.0665,1.0265,1.0265
BDG29,0.662,0.8234999999999999,0.8234999999999999
BDKRB1,-0.255,-1.37,1.37
BDKRB2,0.291,-0.142,0.291
BEAN,1.83,0.681,1.83
BECN1,-0.21200000000000002,-0.5885,0.5885
BET1,1.672,0.996,1.672
BET1L,0.777,0.24750000000000003,0.777
BETA4GALNAC-T4,-0.718,-0.32,0.718
BEX1,-1.278,-0.4395,1.278
BEX2,-0.202,-0.377,0.377
BEXL1,-0.861,0,0.861
BFSP1,0.09600000000000002,-0.2155,0.2155
BG1,-1.124,-0.167,1.124
BGLAP,-0.649,-0.8400000000000001,0.8400000000000001
BGR,0.646,0.264,0.646
BHLHB3,0.026,-0.591,0.591
BHLHB5,0.10700000000000001,-0.48850000000000005,0.48850000000000005
BHMT2,0.5855,0.4345,0.5855
BICC1,0.367,0.19,0.367
BIN3,-0.628,-0.306,0.628
BIT1,0.39849999999999997,-0.1085,0.39849999999999997
BITE,-1.041,0.422,1.041
BIVM,-0.471,-0.057499999999999996,0.471
BJ-TSA-9,0.798,-0.188,0.798
BLOC1S1,0.19,-0.21000000000000002,0.21000000000000002
BLOC1S2,-0.095,-1.367,1.367
BLOC1S3,-0.251,0.313,0.313
BLP1,1.344,0.197,1.344
BLP2,1.423,1.448,1.448
BLR1,0,-0.779,0.779
BM-009,2.4234999999999998,1.7530000000000001,2.4234999999999998
BM88,0.751,0.602,0.751
BMF,1.276,1.045,1.276
BMP10,0.314,0.958,0.958
BMP8A,1.524,-0.234,1.524
BMPER,-1.131,0.696,1.131
BMS1L,-1.3645,0.519,1.3645
BMSC-UBP,0.901,-0.297,0.901
BNC2,1.101,0.8654999999999999,1.101
BNIPL,1.511,0.573,1.511
BOC,-0.173,-0.906,0.906
BOLL,0.137,-0.08050000000000002,0.137
BOMB,1.0055,-1.4605000000000001,1.4605000000000001
BOP1,1.866,3.609,3.609
BPESC1,-0.596,-1.838,1.838
BPIL1,-0.923,0.333,0.923
BPIL2,0.905,-0.356,0.905
BPIL3,0.278,0.382,0.382
BPY2,-1.9129999999999998,-1.4195,1.9129999999999998
BPY2B,-0.05,-1.419,1.419
BPY2C,-0.369,-0.554,0.554
BPY2IP1,-1.074,-0.713,1.074
BRCC2,-0.481,-0.392,0.481
BRD1,-0.311,-2.223,2.223
BRD9,-0.518,-0.355,0.518
BRI3,0.2945,0.17600000000000002,0.2945
BRIX,0.3915,0.6455,0.6455
BRMS1,-1.8365,-0.279,1.8365
