GeneSymbol,MedianCLIP,MedianL243,selectedMedian
SOX12,0.26,-0.536,0.536
SOX13,0.4215,0.949,0.949
SOX14,0.434,1.732,1.732
SOX17,-0.784,-1.836,1.836
SOX21,-0.2905,1.245,1.245
SOX30,1.662,-0.038,1.662
SOX5,0.252,-0.6839999999999999,0.6839999999999999
SOX6,-1.592,-0.3565,1.592
SOX7,0.053,-0.145,0.145
SP192,0.9735,-0.15050000000000008,0.9735
SP6,-0.363,1.558,1.558
SP8,-0.531,0.216,0.531
SPACA1,0,0.048,0.048
SPACA3,-0.16,0.264,0.264
SPACA4,0.045,0.022,0.045
SPAG11,-1.202,0.13699999999999998,1.202
SPAG4,0.21049999999999996,-1.9100000000000001,1.9100000000000001
SPAG4L,0.308,-0.153,0.308
SPAG5,0.21950000000000003,0.986,0.986
SPAG7,0.642,-1.6915,1.6915
SPAG8,-0.342,-0.211,0.342
SPANXA1,-1.279,-0.714,1.279
SPANXA2,-0.56,3.224,3.224
SPANXB1,1.244,0.784,1.244
SPANXB2,0.619,-0.02,0.619
SPANXC,0.603,1.631,1.631
SPANXE,1.734,-2.2655,2.2655
SPAS1,1.207,0.795,1.207
SPATA1,-0.331,-0.814,0.814
SPATA11,1.6475,-0.20399999999999996,1.6475
SPATA12,-0.235,0.382,0.382
SPATA13,-0.719,-0.29,0.719
SPATA2,-1.3915,1.359,1.3915
SPATA4,-0.597,-0.116,0.597
SPATA5,0.859,-0.755,0.859
SPATA5L1,0.182,-0.28,0.28
SPATA6,-0.4505,-0.155,0.4505
SPATA7,0.9630000000000001,0.1175,0.9630000000000001
SPATA9,-0.654,-0.533,0.654
SPATS1,0.54,0.06499999999999999,0.54
SPATS2,0.61,0.899,0.899
SPC12,0.4615,1.793,1.793
SPC18,-0.6295,-0.8005,0.8005
SPC24,-0.962,-0.5,0.962
SPESP1,1.015,0.841,1.015
SPG21,-0.4735,0.9475,0.9475
SPG6,-0.017,-0.061,0.061
SPG7,1.972,-0.2205,1.972
SPIN2,-1.1800000000000002,-0.20500000000000002,1.1800000000000002
SPINK2,1.875,0.17200000000000001,1.875
SPINK4,-0.269,2.708,2.708
SPINK5L2,-1.717,-0.187,1.717
SPINK5L3,-1.013,-0.66,1.013
SPINL,-0.914,0.059,0.914
SPINLW1,0.016,0.933,0.933
SPINT1,1.7245,0.8660000000000001,1.7245
SPIRE1,-0.862,-0.548,0.862
SPIRE2,0.865,-0.94,0.94
SPOCK,-0.5599999999999999,0.9149999999999999,0.9149999999999999
SPOCK2,-0.6145,1.0985,1.0985
SPOCK3,0.95,0.43100000000000005,0.95
SPON1,-0.8135,0.273,0.8135
SPON2,-0.838,-0.109,0.838
SPOP,0.186,0.1815,0.186
SPP1,0.26,-0.638,0.638
SPP2,-0.317,-0.33,0.33
SPPL2A,-1.011,-1.152,1.152
SPPL2B,-0.215,0.04,0.215
SPPL3,-0.595,0.242,0.595
SPRED1,-0.601,0.311,0.601
SPRED2,-0.224,1.7085,1.7085
SPRN,-0.133,0.727,0.727
SPRR1A,0.142,-0.5895,0.5895
SPRR2A,-0.0945,-0.10300000000000001,0.10300000000000001
SPRR2B,-0.053,-0.209,0.209
SPRR3,0.18,0.389,0.389
SPRR4,-1.586,-0.175,1.586
SPRY4,0.969,1.599,1.599
SPTAN1,-0.21,-0.04999999999999999,0.21
SPTBN1,0.7935,1.9715,1.9715
SPTBN2,-0.19749999999999998,-1.1404999999999998,1.1404999999999998
SPTBN4,0.417,0.227,0.417
SPTBN5,-0.9245,-0.29300000000000004,0.9245
SPTLC2,-0.116,-2.5845000000000002,2.5845000000000002
SPUF,-0.581,1.189,1.189
SPUVE,0.18,0.24350000000000002,0.24350000000000002
SPY1,0.355,0.777,0.777
SQRDL,-0.5985,0.4919999999999999,0.5985
SR140,-1.1085,1.2505,1.2505
SR-A1,1.512,1.228,1.512
SREB3,-1.526,-0.013,1.526
SRGAP1,-0.538,0.25450000000000006,0.538
SRGAP2,-0.47050000000000003,-0.23950000000000002,0.47050000000000003
SRI,0.8875,0.5785,0.8875
SRISNF2L,-0.049500000000000016,-0.963,0.963
SRL,-0.481,-0.847,0.847
SRP14,0.13550000000000006,-0.315,0.315
SRP19,-1.2295,-1.4225,1.4225
SRP46,1.3900000000000001,0.3875,1.3900000000000001
SRP54,-0.22300000000000003,1.6204999999999998,1.6204999999999998
SRP68,0.315,-0.272,0.315
SRP9,-0.8035,-0.3955,0.8035
SRPRB,-1.155,-0.09749999999999998,1.155
SRPUL,-0.6915,-0.904,0.904
SRR,1.0614999999999999,2.4245,2.4245
SRRM1,1.167,-0.7200000000000001,1.167
SRRP35,-0.207,0.821,0.821
SS18L1,0.6214999999999999,1.88,1.88
SS18L2,-0.2485,3.3485,3.3485
SSA2,1.096,-0.2865,1.096
SSB,0.546,1.5310000000000001,1.5310000000000001
SSB1,0.343,-1.198,1.198
SSB3,-1.028,0.821,1.028
SSB4,-0.367,0.167,0.367
SSBP1,-0.1745,0.47250000000000003,0.47250000000000003
SSBP2,1.0670000000000002,1.0675000000000001,1.0675000000000001
SSBP3,-0.531,1.5775000000000001,1.5775000000000001
SSBP4,0.675,-1.034,1.034
SSFA2,0.252,0.2125,0.252
SSNA1,0.513,0.1825,0.513
SST,-0.065,-0.856,0.856
SSTK-IP,0.752,0.886,0.886
SSTR1,-0.553,-0.057,0.553
SSTR2,0.508,1.075,1.075
SSTR3,0.821,0.8855,0.8855
SSTR4,-0.343,-1.169,1.169
SSTR5,2.9925,3.018,3.018
SSX2,1.82,-0.251,1.82
SSX2IP,-0.598,-0.629,0.629
SSX3,-0.20500000000000002,0.38,0.38
SSX5,1.0835,0.013500000000000012,1.0835
SSX6,-1.08,-0.137,1.08
SSX7,0.387,2.302,2.302
SSX8,-0.16,0.907,0.907
SSX9,-0.878,-0.02,0.878
ST18,0.4475,0.0675,0.4475
ST6GALII,-1.592,0.658,1.592
ST7,0.41400000000000003,1.079,1.079
STAB1,1.052,0.493,1.052
STAB2,-0.859,0.79,0.859
STAC2,-0.2,-1.0215,1.0215
STAC3,0.652,-0.671,0.671
STAF42,-0.626,0.608,0.626
STAF65(GAMMA),-1.696,0.118,1.696
STAG1,0.774,0.1935,0.774
STAG2,0.3345,-1.104,1.104
STAG3,-0.6745,0.3055,0.6745
STAMBP,-0.266,0.372,0.372
STAP2,0,-0.9755,0.9755
STARD10,0.8225,1.6115,1.6115
STARD13,-0.966,-2.396,2.396
STARD3,1.206,-0.21650000000000003,1.206
STARD3NL,-0.77,-1.409,1.409
STARD4,0.014,0.201,0.201
STARD5,0.057,0.664,0.664
STARD6,-0.411,-0.355,0.411
STARD7,-0.148,0.802,0.802
STARD8,0.37349999999999994,0.3945,0.3945
STARD9,-0.579,0.302,0.579
STAU,-1.9765,-1.47,1.9765
STAU2,-0.11350000000000002,1.462,1.462
STC1,-0.4965,-0.339,0.4965
STC2,0.838,-0.28,0.838
STEAP,0.132,0.453,0.453
STEAP2,-0.28,0.77,0.77
STGC3,0.878,1.405,1.405
STI2,-0.802,-0.713,0.802
STIM1,0.09300000000000003,-0.34850000000000003,0.34850000000000003
STIM2,1.031,-0.56,1.031
STMN4,0.754,1.435,1.435
STN2,1.074,0.899,1.074
STOML1,1.859,4.983,4.983
STOML2,0.371,-0.1875,0.371
STOML3,0.006,0.63,0.63
STRA13,0.433,-0.849,0.849
STRAP,0.268,2.505,2.505
STRBP,-8.0315,-5.231999999999999,8.0315
STRN,-0.5900000000000001,-1.626,1.626
STRN3,-0.409,1.1345,1.1345
STRN4,0.1905,0.1395,0.1905
STX10,0.41950000000000004,0.3375,0.41950000000000004
